,finish,club_name,age,sex,year,og_name,squad,tie,club_short,club_id,club_zone,loc,state
1506,81,AMERICAN RIVER WATER POLO,16,Boys,2017,AMERICAN RIVER WATER POLO A,A,0.0,AMERICAN RIVER,85,Central California Zone,"4540 American River Dr, Sacramento, CA 95864",CA
1507,82,NORTHERN CALIFORNIA AQUATICS,14,Boys,2017,NORTHERN CALIFORNIA AQUATICS,A,0.0,NORCAL - NORTHERN CALIFORNIA,23991,Pacific Zone,"201 Almond Ave, Los Altos, CA 94022",CA
1508,82,680,16,Boys,2017,680 WHITE (C),C,0.0,680,37,Pacific Zone,"1460 S Main St, Walnut Creek, CA 94596",CA
1509,83,TPC SHARKS WATER POLO CLUB,14,Boys,2017,TPC SHARKS WATER POLO CLUB,A,0.0,TPC,19775,Pacific Zone,"1600 Mar West Street, Tiburon, CA 94920",CA
1510,83,PV WATER POLO,16,Boys,2017,P.V. WATER POLO,A,0.0,PV,17088,Coastal California Zone,"600 Cloyden Road, Palos Verdes Estates, CA 90274",CA
1511,84,CHELSEA PIERS WATER POLO,14,Boys,2017,CHELSEA PIERS WATER POLO B,B,0.0,CHELSEA PIERS,1335,Northeast Zone,"1 Blachley Road, Stamford, CT 06902",CT
1512,84,MAVERICK WATER POLO,16,Boys,2017,MAVERICK WATER POLO,A,0.0,MAVERICK,30546,Northeast Zone,"450 Lancaster Ave, Haverford, PA 19041",PA
1513,85,CC UNITED,14,Boys,2017,CC UNITED C,C,0.0,CC UNITED,19137,Pacific Zone,"300 Moraga Road, Moraga, CA 94556",CA
1514,85,DEL MAR WATER POLO,16,Boys,2017,DEL MAR WATER POLO B,B,0.0,DEL MAR,18227,Pacific Southwest Zone,"5555 Del Mar Heights Rd, San Diego, CA 92130",CA
1515,86,THUNDER WATER POLO,14,Boys,2017,THUNDER WATER POLO,A,0.0,NORTH TEXAS THUNDER,21327,Southwest Zone,"1501 W Southlake Blvd, Southlake, TX 76092",TX
1516,86,CALIFORNIA REPUBLIC SC,16,Boys,2017,CALIFORNIA REPUBLIC SC B,B,0.0,CALIFORNIA REPUBLIC SC,26152,Central California Zone,"4700 College Oak Dr, Sacramento, CA 95841",CA
1517,87,680,14,Boys,2017,680 WHITE (C),C,0.0,680,37,Pacific Zone,"1460 S Main St, Walnut Creek, CA 94596",CA
1518,87,WOLVERINE WATER POLO,16,Boys,2017,WOLVERINE WATER POLO,A,0.0,WOLVERINE,560,Midwest Zone,"2552 N Maple Rd, Ann Arbor, MI 48103",MI
1519,88,CARLSBAD WATER POLO,14,Boys,2017,CARLSBAD WATER POLO B,B,0.0,CARLSBAD,1634,Pacific Southwest Zone,"225 Monroe Street, Carlsbad, CA 92008",CA
1520,88,RAIDER WATER POLO,16,Boys,2017,RAIDER WATER POLO,A,0.0,RAIDER,17771,Southeast Zone,"3575 Main Highway, Coconut Grove, FL 33133",FL
1521,89,CFWPC,14,Boys,2017,CFWPC,A,0.0,CFWPC,20910,Southwest Zone,"11355 B Falcon Road, Houston, TX 77065",TX
1522,89,BAKERSFIELD WATER POLO,16,Boys,2017,BAKERSFIELD WATER POLO,A,0.0,BAKERSFIELD,16629,Central California Zone,"2800 Loma Linda Dr, Bakersfield, CA 93312",CA
1523,90,KEARNS,14,Boys,2017,KEARNS,A,0.0,KEARNS,635,Mountain Zone,"5624 S 4800 W, Kearns, UT 84118",UT
1524,90,LONGHORN AQUATICS,16,Boys,2017,LONGHORN AQUATICS,A,0.0,LONGHORN,20672,Southwest Zone,"686 E Martin Luther King Jr Blvd, Austin, TX 78701",TX
1525,91,SAN DIEGO SHORES,14,Boys,2017,SAN DIEGO SHORES B,B,0.0,SAN DIEGO SHORES,1156,Pacific Southwest Zone,"7607 La Jolla Blvd, La Jolla, CA 92115",CA
1526,91,JUNGLE CAT WATER POLO,16,Boys,2017,JUNGLE CAT WATER POLO,A,0.0,JUNGLE CAT,1287,Midwest Zone,"425 South Lindbergh Boulevard, St Louis, MO 63131",MO
1527,92,AMERICAN RIVER WATER POLO,14,Boys,2017,AMERICAN RIVER WATER POLO B,B,0.0,AMERICAN RIVER,85,Central California Zone,"4540 American River Dr, Sacramento, CA 95864",CA
1528,92,CFWPC,16,Boys,2017,CFWPC,A,0.0,CFWPC,20910,Southwest Zone,"11355 B Falcon Road, Houston, TX 77065",TX
1529,93,UTAH PREMIER WATER POLO,14,Boys,2017,UTAH PREMIER WATER POLO B,B,0.0,UTAH PREMIER,30240,Mountain Zone,"2465 W Kilby Rd, Park City, UT 84098",UT
1530,93,209 WATER POLO,16,Boys,2017,209 WATER POLO,A,0.0,209,31318,Central California Zone,"1800 Buhach Road, Atwater, CA 95301",CA
1531,94,CAPITAL DC WATER POLO CLUB,14,Boys,2017,CAPITAL DC WATER POLO CLUB,A,0.0,CAPITAL DC,30226,Northeast Zone,"1301 North Stafford Street, Arlington, VA 22201",VA
1532,94,NWC WATER POLO,16,Boys,2017,NWC WATER POLO A,A,0.0,NWC,21801,Midwest Zone,"1111 Rohlwing Rd, Rolling Meadows, IL 60008",IL
1533,95,SOUTH VALLEY WATER POLO,14,Boys,2017,SOUTH VALLEY WATER POLO B,B,0.0,SOUTH VALLEY,17247,Central California Zone,"5100 W Akers, Visalia, CA 93277",CA
1534,95,BOERNE WPC,16,Boys,2017,BOERNE WPC,A,0.0,BOERNE,30125,Southwest Zone,"106 City Park Road, Boerne, TX 78006",TX
1535,96,ROSE BOWL,14,Boys,2017,ROSE BOWL BLACK (B),B,0.0,ROSE BOWL,341,Coastal California Zone,"360 N Arroyo Boulevard, Pasadena, CA 91103",CA
1536,96,NORTHWOOD,16,Boys,2017,NORTHWOOD NAVY (A),A,0.0,NORTH IRVINE,1834,Southern Pacific Zone,"4515 Portola Pkwy, Irvine, CA 92620",CA
1537,97,ELITE WATER POLO,14,Boys,2017,ELITE WATER POLO,A,0.0,ELITE,1396,Southern Pacific Zone,"42200 Nighthawk Way, Murrieta, CA 92562",CA
1538,97,INTERNATIONAL WATER POLO,16,Boys,2017,INTERNATIONAL WATER POLO,A,0.0,ORLANDO INTERNATIONAL,33869,Southeast Zone,"8422 International Dr, Orlando, FL 32819",FL
1539,97,INTERNATIONAL WATER POLO,18,Boys,2017,INTERNATIONAL WATER POLO,A,0.0,ORLANDO INTERNATIONAL,33869,Southeast Zone,"8422 International Dr, Orlando, FL 32819",FL
1540,98,CHAWP,14,Boys,2017,CHAWP,A,0.0,CHAWP,1281,Southern Pacific Zone,"2605 Temescal Ave, Norco, CA 92860",CA
1541,98,CHAWP,16,Boys,2017,CHAWP BLUE (B),B,0.0,CHAWP,1281,Southern Pacific Zone,"2605 Temescal Ave, Norco, CA 92860",CA
1542,98,RIPON AQUATICS,18,Boys,2017,RIPON AQUATICS,A,0.0,RIPON,15834,Central California Zone,"301 N Acacia, Ripon, CA 95366",CA
1543,99,WESTSIDE AQUATICS,14,Boys,2017,WESTSIDE AQUATICS,A,0.0,WESTSIDE,19491,Coastal California Zone,"15777 Bowdoin St, Pacific Palisades, CA 90272",CA
1544,99,ORANGECOUNTY RIPTIDE,16,Boys,2017,ORANGE COUNTY RIPTIDE,A,0.0,ORANGE COUNTY,17818,Southern Pacific Zone,"33333 Golden Lantern, Dana Point, CA 92629",CA
1545,99,CHAWP,18,Boys,2017,CHAWP C,C,0.0,CHAWP,1281,Southern Pacific Zone,"2605 Temescal Ave, Norco, CA 92860",CA
1546,100,BRUIN WATER POLO,14,Boys,2017,BRUIN WATER POLO,A,0.0,BRUIN,1098,Coastal California Zone,"111 Easton Dr, Los Angeles, CA 90095",CA
1547,100,VANGUARD,16,Boys,2017,VANGUARD SILVER B,B,0.0,VANGUARD,17185,Southern Pacific Zone,"2301 W Mac, Santa Ana, CA 92704",CA
1548,100,CHAWP,18,Boys,2017,CHAWP BLUE (B),B,0.0,CHAWP,1281,Southern Pacific Zone,"2605 Temescal Ave, Norco, CA 92860",CA
1549,101,SOUTH PASADENA WATER POLO,14,Boys,2017,SOUTH PASADENA WATER POLO,A,0.0,SOUTH PASADENA,0,Coastal California Zone,"1401 Fremont Ave, South Pasadena, CA 91030",CA
1550,101,ADMIRAL WATER POLO FOUNDATION,16,Boys,2017,ADMIRAL WATER POLO FOUNDATION,A,0.0,ADMIRAL,25904,Coastal California Zone,"13847 Earlham Dr, Whittier, CA 90602",CA
1551,101,NORTHERN CALIFORNIA AQUATICS,18,Boys,2017,NORTHERN CALIFORNIA AQUATICS,A,0.0,NORCAL - NORTHERN CALIFORNIA,23991,Pacific Zone,"201 Almond Ave, Los Altos, CA 94022",CA
1552,102,LOS ANGELES WATER POLO CLUB,14,Boys,2017,LOS ANGELES WATER POLO CLUB WHITE (B),B,0.0,LOS ANGELES,1807,Coastal California Zone,"111 Easton Dr, Los Angeles, CA 90095",CA
1553,102,SC TRITONS,16,Boys,2017,SC TRITONS BLACK (B),B,0.0,SC TRITONS,21154,Southern Pacific Zone,"700 Ave Pico, San Clemente, CA 92673",CA
1554,102,VALLEY WATER POLO,18,Boys,2017,VALLEY WATER POLO,A,0.0,VALLEY,737,Central California Zone,"960 N Newcomb, Porterville, CA 93257",CA
1555,103,IRVINE WATER POLO KAHUNA,14,Boys,2017,IRVINE WATER POLO (KAHUNA),A,0.0,IRVINE KAHUNA,78,Southern Pacific Zone,"4601 Walnut Avenue, Irvine, CA 92604",CA
1556,103,STANFORD,16,Boys,2017,STANFORD C,C,0.0,STANFORD,570,Pacific Zone,"Avery Aquatic Center, Stanford, CA 94305",CA
1557,103,SOAC UCLS WATER POLO,18,Boys,2017,SOAC ‐ UCLS WATER POLO,A,0.0,SOAC - UCLS,26154,Pacific Zone,"33901 Syracuse Ave, Union City, CA 94587",CA
1558,104,NORTHWOOD,14,Boys,2017,NORTHWOOD SILVER (B),B,0.0,NORTH IRVINE,1834,Southern Pacific Zone,"4515 Portola Pkwy, Irvine, CA 92620",CA
1559,104,LAMORINDA,16,Boys,2017,LAMORINDA GOLD (B),B,0.0,LAMORINDA,1309,Pacific Zone,"1200 Pleasant Hill Road, Lafayette, CA 94549",CA
1560,104,ROSE BOWL,18,Boys,2017,ROSE BOWL BLACK (B),B,0.0,ROSE BOWL,341,Coastal California Zone,"360 N Arroyo Boulevard, Pasadena, CA 91103",CA
1561,105,LAMORINDA,14,Boys,2017,LAMORINDA WHITE (C),C,0.0,LAMORINDA,1309,Pacific Zone,"1200 Pleasant Hill Road, Lafayette, CA 94549",CA
1562,105,RACERS AQUATICS,16,Boys,2017,RACERS AQUATICS,A,0.0,RACERS,0,Coastal California Zone,"2000 S Otterbein Ave, Rowland Heights, CA 91748",CA
1563,105,NWC WATER POLO,18,Boys,2017,NWC WATER POLO,A,0.0,NWC,21801,Midwest Zone,"1111 Rohlwing Rd, Rolling Meadows, IL 60008",IL
1564,106,SOCAL,14,Boys,2017,SOCAL WHITE (C),C,0.0,SOCAL,51,Southern Pacific Zone,"1925 Dodge Ave, Santa Ana, CA 92705",CA
1565,106,WEST VALLEY WATER POLO,16,Boys,2017,WEST VALLEY WATER POLO RED (A),A,0.0,WEST VALLEY,23,Pacific Zone,"35353 Truman Ave, Mountain View, CA 94040",CA
1566,106,NARROWS WATER POLO,18,Boys,2017,NARROWS WATER POLO,A,0.0,NARROWS,22170,Pacific Northwest & Hawaii Zone,"5101 Rosedale, Gig Harbor, WA 98335",WA
1567,107,SET,14,Boys,2017,SET BLACK (B),B,0.0,SADDLEBACK EL TORO SET,18,Southern Pacific Zone,"25255 Toledo Way, Lake Forest, CA 92630",CA
